Ensembl_gene_id,Ensembl_transcript_id,Gnomad_oe_lof_score,Gnomad_oe_ci_lower,Gnomad_oe_ci_upper,Gnomad_pLI_score,Gnomad_pnull_score,Gnomad_prec_score,Gnomad_oe_mis_score,Gnomad_mis_z_score
ENSG00000167972,ENST00000301732,0.512,0.43,0.612,1.08e-10,6.26e-10,1.0,0.9259999999999999,1.31
ENSG00000198691,ENST00000370225,0.6970000000000001,0.618,0.7859999999999999,3.4799999999999998e-43,2.19e-07,1.0,0.9309999999999999,1.38
ENSG00000154265,ENST00000392676,0.813,0.6829999999999999,0.97,1.77e-24,0.0736,0.9259999999999999,0.975,0.337
ENSG00000154262,ENST00000284425,0.889,0.76,1.04,2.9600000000000002e-33,0.64,0.36,1.02,-0.32899999999999996
ENSG00000064687,ENST00000263094,1.23,1.11,1.37,7.919999999999999e-103,1.0,3.3799999999999997e-12,1.19,-3.59
ENSG00000141338,ENST00000586539,0.9420000000000001,0.8190000000000001,1.09,9.15e-44,0.973,0.0274,0.9640000000000001,0.5379999999999999
ENSG00000154258,ENST00000340001,0.873,0.76,1.01,1.1399999999999999e-40,0.563,0.43700000000000006,0.892,1.63
ENSG00000085563,ENST00000622132,0.467,0.381,0.575,1.89e-05,4.11e-09,1.0,0.809,2.77
ENSG00000135776,ENST00000344517,0.91,0.73,1.14,3.03e-17,0.506,0.494,0.9670000000000001,0.35100000000000003
ENSG00000073734,ENST00000650372,0.611,0.507,0.7390000000000001,9.559999999999999e-15,9.44e-06,1.0,0.915,1.21
ENSG00000005471,ENST00000649586,0.51,0.419,0.623,1.79e-08,3.82e-08,1.0,0.752,3.56
ENSG00000004846,ENST00000404938,1.02,0.882,1.18,2.11e-45,0.998,0.0016699999999999998,1.15,-2.06
ENSG00000115657,ENST00000265316,0.826,0.696,0.9840000000000001,2e-25,0.11599999999999999,0.884,0.927,0.9
ENSG00000197150,ENST00000358849,0.71,0.5670000000000001,0.894,7.440000000000001e-13,0.00839,0.992,0.917,0.9490000000000001
ENSG00000150967,ENST00000280560,0.602,0.461,0.7959999999999999,2.94e-07,0.00172,0.998,0.9079999999999999,1.09
ENSG00000103222,ENST00000399410,0.46799999999999997,0.39,0.564,1.24e-06,5.0799999999999995e-11,1.0,0.8759999999999999,2.03
ENSG00000124574,ENST00000372530,0.765,0.6559999999999999,0.894,1.75e-29,0.0043,0.996,0.863,2.22
ENSG00000121270,ENST00000356608,0.868,0.752,1.0,4.0999999999999993e-38,0.473,0.527,0.93,1.07
ENSG00000140798,ENST00000311303,0.888,0.773,1.02,9.779999999999998e-42,0.736,0.264,0.9209999999999999,1.21
ENSG00000023839,ENST00000647814,0.863,0.757,0.985,1.5499999999999997e-45,0.46399999999999997,0.536,0.935,1.04
ENSG00000108846,ENST00000285238,0.7140000000000001,0.614,0.831,2.7099999999999996e-28,0.000132,1.0,0.924,1.25
ENSG00000125257,ENST00000645237,0.535,0.444,0.647,7.079999999999999e-11,4.96e-08,1.0,0.838,2.27
ENSG00000114770,ENST00000334444,0.366,0.295,0.455,0.9990000000000001,5.969999999999999e-16,0.000683,0.688,4.84
ENSG00000091262,ENST00000205557,0.7909999999999999,0.6829999999999999,0.917,1.24e-33,0.0132,0.987,0.934,1.03
ENSG00000006071,ENST00000389817,0.7190000000000001,0.625,0.8290000000000001,9.53e-33,6.56e-05,1.0,0.83,2.85
ENSG00000069431,ENST00000261200,0.461,0.38299999999999995,0.557,7.27e-06,5.529999999999999e-11,1.0,0.551,7.04
ENSG00000173208,ENST00000308666,0.529,0.396,0.7140000000000001,7.75e-05,0.00042,1.0,0.7809999999999999,2.31
ENSG00000117528,ENST00000370214,0.35100000000000003,0.257,0.484,0.99,4.64e-09,0.009859999999999999,0.7440000000000001,2.48
ENSG00000119688,ENST00000356924,0.611,0.48700000000000004,0.772,4.02e-10,0.000303,1.0,0.948,0.531
ENSG00000164163,ENST00000296577,0.302,0.201,0.466,0.997,7.84e-08,0.00346,0.45299999999999996,4.76
ENSG00000204574,ENST00000326195,0.5670000000000001,0.46799999999999997,0.69,7.14e-12,1.25e-06,1.0,0.7190000000000001,3.38
ENSG00000033050,ENST00000287844,0.46,0.35100000000000003,0.61,0.0033799999999999998,1.01e-05,0.997,0.6409999999999999,3.71
ENSG00000161204,ENST00000429586,0.628,0.511,0.7759999999999999,1.1100000000000001e-12,0.00015800000000000002,1.0,0.877,1.39
ENSG00000160179,ENST00000398449,0.41600000000000004,0.305,0.573,0.196,1.32e-05,0.804,0.7879999999999999,2.33
ENSG00000118777,ENST00000237612,1.08,0.902,1.31,5.07e-29,0.991,0.00932,0.95,0.509
ENSG00000172350,ENST00000619701,0.523,0.39899999999999997,0.6940000000000001,3.48e-05,0.00015,1.0,0.6890000000000001,3.38
ENSG00000138075,ENST00000405322,0.9790000000000001,0.792,1.22,8.13e-20,0.81,0.19,1.11,-1.08
ENSG00000143921,ENST00000272286,1.11,0.924,1.33,5.19e-31,0.996,0.00439,1.24,-2.61
ENSG00000143994,ENST00000316470,1.07,0.843,1.36,1.83e-17,0.888,0.11199999999999999,1.04,-0.318
ENSG00000144827,ENST00000273359,0.7140000000000001,0.501,1.04,1.22e-05,0.0688,0.9309999999999999,0.897,0.7290000000000001
ENSG00000106077,ENST00000222800,0.86,0.63,1.19,1.89e-08,0.23800000000000002,0.762,0.8740000000000001,0.963
ENSG00000100997,ENST00000339157,0.735,0.565,0.9670000000000001,7.51e-10,0.0375,0.9620000000000001,1.06,-0.502
ENSG00000131969,ENST00000337334,0.8759999999999999,0.675,1.15,5.029999999999999e-12,0.298,0.7020000000000001,1.12,-0.867
ENSG00000139826,ENST00000375898,0.268,0.152,0.504,0.977,3.26e-05,0.0231,0.7120000000000001,2.17
ENSG00000248487,ENST00000273596,0.737,0.513,1.08,1.3300000000000001e-05,0.0913,0.909,0.932,0.45399999999999996
ENSG00000114779,ENST00000361143,1.27,0.89,1.79,7.69e-09,0.732,0.268,0.8809999999999999,0.721
ENSG00000168792,ENST00000307201,1.11,0.8440000000000001,1.48,2.99e-13,0.8190000000000001,0.18100000000000002,1.05,-0.413
ENSG00000204427,ENST00000395952,0.5379999999999999,0.425,0.6859999999999999,4.02e-07,2.3199999999999998e-05,1.0,0.799,1.98
ENSG00000183260,ENST00000369916,1.7,1.13,1.96,3.4700000000000002e-09,0.862,0.138,1.31,-2.73
ENSG00000129968,ENST00000292577,0.434,0.254,0.7829999999999999,0.21100000000000002,0.0146,0.774,0.78,1.5
ENSG00000107362,ENST00000333421,0.332,0.19899999999999998,0.579,0.858,0.000295,0.141,0.605,2.78
ENSG00000136379,ENST00000258884,0.556,0.349,0.919,0.0129,0.0344,0.953,0.706,2.06
ENSG00000164074,ENST00000645843,0.731,0.528,1.03,1e-06,0.0671,0.9329999999999999,0.9490000000000001,0.33899999999999997
ENSG00000140526,ENST00000352732,0.392,0.275,0.57,0.551,3.91e-05,0.449,0.698,2.65
ENSG00000158201,ENST00000289119,0.9470000000000001,0.747,1.21,2.1e-15,0.599,0.401,0.993,0.0592
ENSG00000100439,ENST00000428304,0.78,0.5920000000000001,1.04,9.800000000000001e-10,0.0903,0.91,0.82,1.43
ENSG00000011198,ENST00000644371,0.6759999999999999,0.502,0.922,3.42e-07,0.021,0.9790000000000001,0.907,0.7090000000000001
ENSG00000163686,ENST00000478253,0.782,0.581,1.07,1.71e-08,0.106,0.894,0.857,1.09
ENSG00000127220,ENST00000247706,0.41700000000000004,0.271,0.664,0.25,0.00193,0.748,0.892,0.9890000000000001
ENSG00000136754,ENST00000376140,0.258,0.16699999999999998,0.41,1.0,1.8299999999999999e-09,0.00020299999999999997,0.701,2.7
ENSG00000138443,ENST00000261018,0.39799999999999996,0.27699999999999997,0.585,0.449,8.85e-05,0.551,0.8029999999999999,1.82
ENSG00000108798,ENST00000225941,0.7909999999999999,0.5720000000000001,1.11,2.65e-07,0.131,0.8690000000000001,1.05,-0.386
ENSG00000154175,ENST00000471714,0.8270000000000001,0.7240000000000001,0.945,9.709999999999998e-43,0.0763,0.924,0.963,0.562
ENSG00000119328,ENST00000322940,0.763,0.51,1.18,8.06e-05,0.132,0.868,0.963,0.191
ENSG00000097007,ENST00000318560,0.115,0.071,0.19,1.0,1.8799999999999998e-26,2.59e-15,0.701,4.29
ENSG00000143322,ENST00000502732,0.455,0.36,0.578,0.001,1.59e-07,0.9990000000000001,0.83,2.4
ENSG00000099204,ENST00000533213,0.39399999999999996,0.304,0.515,0.696,1.48e-08,0.304,0.8220000000000001,2.04
ENSG00000163995,ENST00000447017,0.591,0.473,0.743,7.76e-10,9.740000000000001e-05,1.0,0.9740000000000001,0.273
ENSG00000173210,ENST00000309868,0.5579999999999999,0.45299999999999996,0.691,7.72e-10,4.87e-06,1.0,0.8590000000000001,1.56
ENSG00000159842,ENST00000302538,0.325,0.247,0.431,1.0,3.93e-14,4.2e-05,0.725,3.36
ENSG00000174429,ENST00000311955,0.711,0.517,0.993,9.47e-07,0.0492,0.951,0.9670000000000001,0.276
ENSG00000146386,ENST00000367660,0.545,0.267,1.24,0.114,0.0972,0.789,1.03,-0.0919
ENSG00000163322,ENST00000321945,0.862,0.568,1.35,4.46e-05,0.226,0.774,0.956,0.295
ENSG00000165660,ENST00000298492,0.395,0.252,0.6409999999999999,0.434,0.0013,0.565,0.856,1.06
ENSG00000146109,ENST00000274849,0.768,0.506,1.2,0.000134,0.14,0.86,1.07,-0.539
ENSG00000114626,ENST00000232744,0.782,0.615,1.0,1.45e-12,0.0703,0.93,0.9440000000000001,0.525
ENSG00000166016,ENST00000435224,0.5870000000000001,0.47200000000000003,0.733,3.57e-10,5e-05,1.0,0.951,0.662
ENSG00000060971,ENST00000333167,0.9329999999999999,0.732,1.2,1.41e-14,0.53,0.47,0.927,0.622
ENSG00000167315,ENST00000285093,0.846,0.632,1.15,1.9600000000000003e-09,0.213,0.787,0.946,0.405
ENSG00000278540,ENST00000616317,0.313,0.262,0.374,1.0,2.9299999999999994e-37,2.48e-14,0.49,10.2
ENSG00000076555,ENST00000338432,0.75,0.667,0.843,2.7399999999999995e-49,4.3200000000000007e-05,1.0,0.8490000000000001,3.11
ENSG00000111271,ENST00000313698,0.897,0.768,1.05,6.969999999999999e-34,0.7140000000000001,0.28600000000000003,0.892,1.47
ENSG00000240303,ENST00000264990,0.8170000000000001,0.665,1.01,1.1199999999999999e-17,0.115,0.885,0.925,0.7759999999999999
ENSG00000151498,ENST00000281182,0.866,0.6809999999999999,1.11,6.95e-14,0.281,0.7190000000000001,0.8959999999999999,0.889
ENSG00000177646,ENST00000308982,0.701,0.56,0.884,1.14e-12,0.006540000000000001,0.993,0.919,0.861
ENSG00000115361,ENST00000233710,0.973,0.757,1.26,3.54e-14,0.635,0.365,0.912,0.705
ENSG00000117054,ENST00000370841,0.8240000000000001,0.639,1.07,6.849999999999999e-12,0.157,0.843,0.9470000000000001,0.424
ENSG00000122971,ENST00000242592,0.621,0.45899999999999996,0.852,3.52e-06,0.007890000000000001,0.992,0.91,0.794
ENSG00000196177,ENST00000358776,0.653,0.486,0.8909999999999999,7.25e-07,0.0136,0.986,1.01,-0.10099999999999999
ENSG00000072778,ENST00000356839,0.8859999999999999,0.733,1.08,2.43e-22,0.466,0.534,0.991,0.10099999999999999
ENSG00000157766,ENST00000560601,0.295,0.23199999999999998,0.377,1.0,3.16e-23,1.06e-09,0.983,0.321
ENSG00000072818,ENST00000158762,0.452,0.355,0.579,0.00203,3.2200000000000005e-07,0.998,0.743,2.95
ENSG00000114331,ENST00000326793,0.33899999999999997,0.247,0.47,0.997,1.16e-09,0.0032700000000000003,0.6829999999999999,3.09
ENSG00000131584,ENST00000354700,0.654,0.528,0.816,1.64e-12,0.000819,0.9990000000000001,1.17,-1.95
ENSG00000075239,ENST00000265838,0.5589999999999999,0.39799999999999996,0.7979999999999999,0.000319,0.00527,0.9940000000000001,0.87,1.07
ENSG00000120437,ENST00000367048,0.7040000000000001,0.509,0.99,1.91e-06,0.0474,0.953,0.892,0.8490000000000001
ENSG00000182827,ENST00000366812,0.465,0.345,0.634,0.00592,6.840000000000001e-05,0.9940000000000001,0.877,1.12
ENSG00000181513,ENST00000321854,0.84,0.653,1.09,2.18e-12,0.196,0.804,0.934,0.496
ENSG00000107897,ENST00000396271,0.5579999999999999,0.428,0.7340000000000001,2.29e-06,0.00035299999999999996,1.0,0.821,1.67
ENSG00000230124,ENST00000367595,0.713,0.501,1.04,1.23e-05,0.0685,0.9309999999999999,0.976,0.157
ENSG00000176244,ENST00000356189,0.9209999999999999,0.578,1.52,0.000196,0.267,0.733,1.05,-0.174
ENSG00000110455,ENST00000263776,0.6990000000000001,0.5479999999999999,0.899,7.8e-11,0.0108,0.9890000000000001,0.9159999999999999,0.7909999999999999
ENSG00000205126,ENST00000378832,0.823,0.657,1.04,4.21e-15,0.141,0.8590000000000001,0.8590000000000001,1.38
ENSG00000102977,ENST00000620761,0.7070000000000001,0.5479999999999999,0.9209999999999999,4.31e-10,0.0175,0.983,0.8809999999999999,1.07
ENSG00000159640,ENST00000290866,0.759,0.655,0.88,6.24e-32,0.0019399999999999999,0.998,1.03,-0.503
ENSG00000167769,ENST00000301452,1.05,0.784,1.41,1.31e-11,0.6779999999999999,0.322,0.9840000000000001,0.11
ENSG00000177076,ENST00000340967,0.821,0.594,1.16,1.4599999999999998e-07,0.17300000000000001,0.8270000000000001,1.06,-0.39899999999999997
ENSG00000078124,ENST00000532485,0.413,0.225,0.815,0.305,0.0201,0.675,0.7759999999999999,0.871
ENSG00000087085,ENST00000241069,0.37200000000000005,0.259,0.546,0.8140000000000001,1.11e-05,0.18600000000000003,0.737,2.75
ENSG00000100813,ENST00000605057,0.0956,0.062,0.15,1.0,7.599999999999999e-42,1.08e-24,0.8109999999999999,2.78
ENSG00000213088,ENST00000368122,1.02,0.484,1.84,0.0194,0.24600000000000002,0.7340000000000001,1.05,-0.384
ENSG00000144648,ENST00000422265,2.63,0.365,1.93,0.11800000000000001,0.221,0.6609999999999999,0.902,0.804
ENSG00000144476,ENST00000272928,0.249,0.135,0.49200000000000005,0.981,3.34e-05,0.0186,0.792,1.69
ENSG00000129048,ENST00000249887,0.534,0.262,1.22,0.12300000000000001,0.0923,0.785,0.478,3.56
ENSG00000131473,ENST00000352035,0.307,0.237,0.401,1.0,4.4e-18,3.5200000000000003e-07,0.6940000000000001,4.26
ENSG00000153086,ENST00000356140,0.78,0.58,1.06,1.82e-08,0.10300000000000001,0.897,0.981,0.129
ENSG00000122729,ENST00000309951,0.6809999999999999,0.555,0.8390000000000001,1.55e-14,0.00135,0.9990000000000001,0.823,2.11
ENSG00000100412,ENST00000216254,0.364,0.27399999999999997,0.489,0.981,2.0100000000000003e-09,0.0189,0.637,4.34
ENSG00000102794,ENST00000377462,0.858,0.502,1.53,0.00225,0.21600000000000003,0.782,0.883,1.02
ENSG00000184227,ENST00000311148,0.519,0.21,1.53,0.20199999999999999,0.11599999999999999,0.682,0.35100000000000003,2.99
ENSG00000162390,ENST00000343744,0.889,0.73,1.09,5.93e-21,0.46399999999999997,0.536,0.929,0.747
ENSG00000172497,ENST00000307624,0.7290000000000001,0.581,0.92,4.85e-13,0.0155,0.9840000000000001,1.04,-0.41600000000000004
ENSG00000112304,ENST00000230048,0.8590000000000001,0.529,1.45,0.000612,0.21899999999999997,0.78,0.9359999999999999,0.316
ENSG00000119673,ENST00000238651,0.774,0.517,1.19,6.97e-05,0.141,0.8590000000000001,0.9640000000000001,0.273
ENSG00000177465,ENST00000326303,1.02,0.674,1.59,9.98e-06,0.382,0.618,0.993,0.0589
ENSG00000205669,ENST00000645972,1.78,1.11,1.96,6.8e-08,0.8029999999999999,0.19699999999999998,1.07,-0.495
ENSG00000097021,ENST00000361521,0.28300000000000003,0.177,0.46799999999999997,0.995,7.2e-07,0.00543,0.75,2.09
ENSG00000101473,ENST00000217455,0.82,0.62,1.1,5.83e-10,0.158,0.8420000000000001,0.855,1.11
ENSG00000161533,ENST00000293217,0.515,0.39899999999999997,0.67,1.7100000000000002e-05,3.5100000000000006e-05,1.0,0.716,3.07
ENSG00000168306,ENST00000302819,0.741,0.604,0.914,3.61e-16,0.0121,0.988,0.903,1.07
ENSG00000087008,ENST00000356406,0.915,0.7559999999999999,1.11,8.47e-23,0.648,0.35200000000000004,1.01,-0.0865
ENSG00000153093,ENST00000439055,1.01,0.8290000000000001,1.24,1.72e-23,0.925,0.0749,0.9159999999999999,0.8370000000000001
ENSG00000143727,ENST00000272065,1.06,0.736,1.55,1.49e-07,0.5,0.5,0.9440000000000001,0.263
ENSG00000134575,ENST00000672073,0.601,0.455,0.804,1.02e-06,0.0025399999999999997,0.997,0.845,1.34
ENSG00000014257,ENST00000336375,0.767,0.555,1.08,4.43e-07,0.102,0.898,0.9420000000000001,0.39799999999999996
ENSG00000142513,ENST00000270593,1.12,0.889,1.41,3.02e-19,0.948,0.0518,1.09,-0.73
ENSG00000102575,ENST00000648477,0.8170000000000001,0.594,1.14,8.64e-08,0.16399999999999998,0.836,0.809,1.46
ENSG00000162836,ENST00000583509,1.03,0.81,1.31,1.42e-16,0.82,0.18,0.917,0.665
ENSG00000183760,ENST00000331256,0.922,0.745,1.15,1.12e-18,0.589,0.41100000000000003,0.9309999999999999,0.628
ENSG00000100312,ENST00000216139,0.629,0.429,0.943,0.000309,0.0334,0.966,0.833,1.29
ENSG00000111644,ENST00000229243,0.722,0.575,0.9109999999999999,6.86e-13,0.0127,0.987,0.866,1.29
ENSG00000134940,ENST00000533904,0.5479999999999999,0.374,0.8220000000000001,0.0023,0.0106,0.987,0.878,0.8170000000000001
ENSG00000103740,ENST00000258873,0.455,0.35100000000000003,0.594,0.00317,2.34e-06,0.997,0.823,2.05
ENSG00000130377,ENST00000588485,0.795,0.643,0.99,3.69e-16,0.0707,0.929,0.8690000000000001,1.36
ENSG00000167107,ENST00000300441,0.67,0.535,0.8440000000000001,6.450000000000001e-12,0.00237,0.998,0.8170000000000001,1.9
ENSG00000176715,ENST00000614302,1.43,1.19,1.72,2.66e-36,1.0,3.8e-05,1.2,-2.0
ENSG00000151726,ENST00000281455,0.42700000000000005,0.33,0.555,0.0478,3.02e-07,0.9520000000000001,0.799,2.18
ENSG00000123983,ENST00000357430,0.451,0.33899999999999997,0.605,0.0107,1.55e-05,0.9890000000000001,0.755,2.51
ENSG00000197142,ENST00000354655,0.55,0.435,0.7020000000000001,1.45e-07,4.23e-05,1.0,0.883,1.25
ENSG00000164398,ENST00000651883,0.45799999999999996,0.361,0.584,0.000799,2.64e-07,0.9990000000000001,0.795,2.32
ENSG00000166743,ENST00000520010,1.03,0.852,1.25,2.62e-26,0.9640000000000001,0.0362,0.907,0.89
ENSG00000183747,ENST00000573854,1.01,0.8370000000000001,1.23,3.0199999999999997e-25,0.945,0.0551,1.0,-0.029
ENSG00000066813,ENST00000329697,0.768,0.621,0.956,1.3800000000000001e-15,0.0346,0.965,0.99,0.094
ENSG00000005187,ENST00000289416,0.8009999999999999,0.6459999999999999,0.9990000000000001,5.15e-16,0.0828,0.917,0.884,1.1
ENSG00000215009,ENST00000399422,0.872,0.713,1.07,1.09e-19,0.349,0.6509999999999999,0.883,1.15
ENSG00000183549,ENST00000331849,0.802,0.644,1.0,1.68e-15,0.0866,0.9129999999999999,0.985,0.149
ENSG00000154930,ENST00000323482,0.551,0.429,0.7120000000000001,7.009999999999999e-07,0.000109,1.0,0.8320000000000001,1.88
ENSG00000131069,ENST00000360596,0.619,0.491,0.785,5.55e-10,0.00053,0.9990000000000001,0.843,1.67
ENSG00000111058,ENST00000548058,0.7440000000000001,0.598,0.9309999999999999,2.58e-14,0.0194,0.981,0.9109999999999999,0.932
ENSG00000143632,ENST00000366684,0.667,0.485,0.9309999999999999,3.1e-06,0.0254,0.975,0.303,6.09
ENSG00000107796,ENST00000224784,0.29100000000000004,0.185,0.47200000000000003,0.9940000000000001,5.34e-07,0.00569,0.449,4.62
ENSG00000075624,ENST00000646664,0.0614,0.024,0.193,1.0,7.54e-11,2.04e-06,0.102,7.69
ENSG00000169067,ENST00000423391,1.2,0.897,1.62,1.98e-12,0.8540000000000001,0.146,1.01,-0.114
ENSG00000159251,ENST00000290378,0.302,0.185,0.511,0.973,1.3500000000000001e-05,0.0268,0.245,6.32
ENSG00000184009,ENST00000573283,0.395,0.26,0.617,0.45899999999999996,0.000553,0.541,0.42700000000000005,4.89
ENSG00000163017,ENST00000345517,0.41200000000000003,0.278,0.626,0.282,0.000547,0.718,0.47,4.36
ENSG00000288649,ENST00000677665,1.75,0.7709999999999999,1.95,0.00274,0.39299999999999996,0.604,1.22,-1.48
ENSG00000136518,ENST00000429709,0.072,0.032,0.18600000000000003,1.0,2.68e-13,7.43e-08,0.527,3.63
ENSG00000077080,ENST00000160382,0.75,0.594,0.9540000000000001,9.620000000000001e-13,0.0311,0.9690000000000001,0.613,3.37
ENSG00000187003,ENST00000333999,0.857,0.631,1.18,1.06e-08,0.233,0.767,0.9420000000000001,0.521
ENSG00000148156,ENST00000374667,0.973,0.684,1.41,1.8899999999999999e-07,0.39899999999999997,0.601,1.07,-0.61
ENSG00000117148,ENST00000375406,0.331,0.162,0.7559999999999999,0.601,0.0117,0.387,0.7559999999999999,2.0
ENSG00000181786,ENST00000324436,0.5429999999999999,0.21899999999999997,1.58,0.187,0.124,0.6890000000000001,1.06,-0.551
ENSG00000072110,ENST00000394419,0.244,0.182,0.331,1.0,7.899999999999999e-23,4.35e-11,0.6,5.2
ENSG00000077522,ENST00000366578,0.327,0.25,0.43200000000000005,1.0,2.79e-14,4.28e-05,0.82,2.27
ENSG00000248746,ENST00000513398,0.7929999999999999,0.6679999999999999,0.9440000000000001,1.16e-24,0.0327,0.9670000000000001,1.03,-0.33799999999999997
ENSG00000130402,ENST00000252699,0.16,0.11,0.23800000000000002,1.0,2.27e-27,3.56e-15,0.564,5.69
ENSG00000131966,ENST00000254286,0.7559999999999999,0.511,1.15,5.11e-05,0.121,0.879,0.92,0.489
ENSG00000138107,ENST00000369905,0.19899999999999998,0.122,0.337,1.0,1.7e-11,5.26e-06,0.49700000000000005,4.12
ENSG00000115073,ENST00000289228,0.73,0.556,0.968,2.6800000000000003e-09,0.0375,0.9620000000000001,0.919,0.67
ENSG00000138071,ENST00000260641,0.0563,0.022,0.177,1.0,7.05e-12,4.5899999999999997e-07,0.382,4.52
ENSG00000115091,ENST00000263238,0.264,0.158,0.461,0.995,1.35e-06,0.00504,0.557,3.11
ENSG00000133627,ENST00000256001,0.182,0.106,0.32799999999999996,1.0,1.09e-10,1.06e-05,0.537,3.59
ENSG00000106526,ENST00000683684,0.68,0.45399999999999996,1.05,0.00028900000000000003,0.0693,0.93,0.7809999999999999,1.19
ENSG00000101442,ENST00000243903,0.7709999999999999,0.608,0.986,1.23e-12,0.0548,0.945,1.02,-0.166
ENSG00000075089,ENST00000188312,0.718,0.516,1.02,2.29e-06,0.0606,0.9390000000000001,0.7070000000000001,1.95
ENSG00000113812,ENST00000335754,0.83,0.6709999999999999,1.03,7.190000000000001e-17,0.158,0.8420000000000001,0.858,1.37
ENSG00000169717,ENST00000378404,0.42200000000000004,0.171,1.31,0.28800000000000003,0.0829,0.629,0.934,0.552
ENSG00000184378,ENST00000330368,0.863,0.611,1.24,4.66e-07,0.23600000000000002,0.764,0.925,0.608
