HGNC ID	Approved symbol	Approved name	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	RefSeq IDs	NCBI Gene ID	Ensembl gene ID
HGNC:13	AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)	Symbol Withdrawn							
HGNC:14	AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)	Symbol Withdrawn							
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	NM_023928	65985	ENSG00000081760
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved	AACSL		5q35.3		NR_024035	729522	ENSG00000250420
HGNC:13792	AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)	Symbol Withdrawn							
HGNC:17	AADAC	arylacetamide deacetylase	Approved		DAC, CES5A1	3q25.1	L32179	NM_001086	13	ENSG00000114771
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	Approved		MGC72001	3q25.1	BC065724	NM_207365	344752	ENSG00000197953
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved			3q25.1			101928142	ENSG00000242908
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	Approved		OTTHUMG00000001887	1p36.21		NM_001103170	126767	ENSG00000188984
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	Approved		OTTHUMG00000001889	1p36.21		NM_001013630	343066	ENSG00000204518
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved			3q25.1			201651	ENSG00000240602
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		KATII, KAT2, KYAT2	4q33	AF097994	NM_016228	51166	ENSG00000109576
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved		FLJ11506, p34	15q23	AL136715	NM_024666	79719	ENSG00000103591
HGNC:19679	AAK1	AP2 associated kinase 1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971	NM_014911	22848	ENSG00000115977
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854	NM_024684	28971	ENSG00000087884
HGNC:18	AAMP	angio associated migratory cell protein	Approved			2q35	AB209790	NM_001087	14	ENSG00000127837
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved		SNAT	17q25.1	U40347	NM_001088	15	ENSG00000129673
HGNC:15886	AAR2	AAR2 splicing factor	Approved	C20orf4	bA234K24.2	20q11.23		NM_015511	25980	ENSG00000131043
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	C8orf85	LOC441376	8q24.11	AB181519, BC140924	NM_001025357	441376	ENSG00000205002
HGNC:20	AARS1	alanyl-tRNA synthetase 1	Approved	AARS	CMT2N, AlaRS	16q22.1	D32050	NM_001605	16	ENSG00000090861
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	Approved	AARSP1		4q28.3			106480683	ENSG00000249038
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	NM_020745	57505	ENSG00000124608
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved		MGC2744, AlaXp	17q21.31	BC004172	NM_001261434	80755	ENSG00000266967
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1	Approved			Xq13.2				ENSG00000234969
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672	NM_181806	132949	ENSG00000157426
HGNC:58795	AASDH-DT	AASDH divergent transcript	Approved			4q12				ENSG00000269921
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	AF302110	NM_015423	60496	ENSG00000149313
HGNC:58262	AASDHPPT-AS1	AASDHPPT antisense RNA 1	Approved			11q22.3				ENSG00000254433
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved		LORSDH, LKRSDH, LKR/SDH	7q31.32	AF229180	NM_005763	10157	ENSG00000008311
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	Approved			21q22.3		NR_026961	284837	ENSG00000215458
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208	NM_012138	26574	ENSG00000275700
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	NM_004920	9625	ENSG00000181409
HGNC:22	AAVS1	adeno-associated virus integration site 1	Approved		AAV	19q13	S51329		17	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Entry Withdrawn		INXS	20q11.21				
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		GABAT, GABA-T	16p13.2	L32961	NM_020686	18	ENSG00000183044
HGNC:24	ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)	Symbol Withdrawn							
HGNC:25	ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)	Symbol Withdrawn							
HGNC:26	ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)	Symbol Withdrawn							
HGNC:28	ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)	Symbol Withdrawn							
HGNC:27	ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)	Symbol Withdrawn							
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	ABC1, HDLDT1	TGD	9q31.1	AJ012376	NM_005502	19	ENSG00000165029
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	ABC2		9q34.3	U18235	NM_001606	20	ENSG00000107331
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735	NM_001089	21	ENSG00000167972
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1	Approved			16p12.2		NG_022511	342293	ENSG00000257408
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	U88667	NM_000350	24	ENSG00000198691
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved		EST90625	17q24.3	U66672	NM_018672	23461	ENSG00000154265
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved		EST155051	17q24.2-q24.3	U66680	NM_080284	23460	ENSG00000154262
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved		ABCX	19p13.3	AF328787	NM_019112	10347	ENSG00000064687
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved		KIAA0822	17q24.2	AB020629	NM_007168	10351	ENSG00000141338
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved		EST640918	17q24.2	AF423307	NM_172386	10350	ENSG00000154258
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved			17q24.2				ENSG00000231749
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved		EST698739	17q24.3	AY247065	NM_080282	10349	ENSG00000154263
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	ABCA11	EST1133530, FLJ14297	4p16.3	AK024359	NR_002451.2	79963	ENSG00000251595
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	ICR2B	DKFZP434G232, LI2	2q35	AF418105	NM_173076	26154	ENSG00000144452
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved		FLJ33876, FLJ33951	7p12.3	AY204751	NM_152701	154664	ENSG00000179869
HGNC:34405	ABCA15P	ATP binding cassette subfamily A member 15, pseudogene	Approved	NCRNA00169, CRYM-AS1	FLJ41766	16p12.2		NR_026675	400508	ENSG00000189149
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Approved			16p13.3	DQ266102	NR_003574	650655	ENSG00000238098
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1	7q21.12	M14758	NM_000927	5243	ENSG00000085563
HGNC:11563	ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)	Symbol Withdrawn							
HGNC:11564	ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)	Symbol Withdrawn							
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	M23234	NM_000443	5244	ENSG00000005471
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved		EST422562, ABCB5beta, ABCB5alpha	7p21.1	U66692	NM_178559	340273	ENSG00000004846
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	Approved		EST45597, umat, MTABC3	2q35	AF070598	NM_005689	10058	ENSG00000115657
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950	NM_004299	22	ENSG00000131269
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved		EST328128, M-ABC1, MABC1, MITOSUR	7q36.1	AF047690	NM_007188	11194	ENSG00000197150
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved		EST122234	12q24.31	U66676	NM_019624	23457	ENSG00000150967
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved		EST20237, M-ABC2, MTABC2	1q42.13	U18237	NM_012089	23456	ENSG00000135776
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	Approved	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2	AF218417	NG_005041	56476	ENSG00000274099
HGNC:31128	ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)	Symbol Withdrawn			15q11.2				
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	Approved			15q13.1		NG_022122	728248	ENSG00000261524
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	Approved			15q13.1		NG_022102	100132289	ENSG00000260053
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q31.1	AF091582	NM_003742	8647	ENSG00000073734
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	Approved	MRP, MRP1	GS-X	16p13.11	L05628	NM_004996	4363	ENSG00000103222
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	CMOAT	DJS, MRP2, cMRP	10q24.2	U63970	NM_000392	1244	ENSG00000023839
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	Y17151	NM_020038	8714	ENSG00000108846
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	Approved		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682	NM_005845	10257	ENSG00000125257
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27.1	AF104942	NM_005688	10057	ENSG00000114770
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved			3q27.1				ENSG00000223882
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622		368	ENSG00000091262
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved			16p12.3	BC075833	NR_003569	653190	ENSG00000256340
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved			16p13.11		NR_023387	730013	ENSG00000255277
HGNC:58	ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)	Symbol Withdrawn							
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	NM_000352	6833	ENSG00000006071
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved		SUR2, CMD1O	12p12.1	AF061323	NM_005691	10060	ENSG00000069431
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved		EST182763, MRP7, SIMRP7	6p21.1	U66684	NM_033450	89845	ENSG00000124574
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved		MRP8	16q12.1	AF367202	NM_032583	85320	ENSG00000121270
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved		MRP9	16q12.1	AY040220	NM_033226	94160	ENSG00000140798
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Approved		PRED6, C21orf73, ABCC13P	21q11.2	AF418600		150000	ENSG00000243064
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	NM_000033	215	ENSG00000101986
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	Approved			2p11.2	U90290		23785	
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	Approved		bA453N3.6	10p11.1	U90288		26983	ENSG00000215151
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	Approved			16p11.2	U90289		26982	ENSG00000261233
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	Approved			22q11.1	U90291		26957	ENSG00000225293
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	Approved			2p11.1			642762	ENSG00000214330
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Approved	ALDL1	ALDR, ALDRP	12q12	U28150	NM_005164	225	ENSG00000173208
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182	NM_002858	5825	ENSG00000117528
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24.3	AF009746	NM_005050	5826	ENSG00000119688
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	X74987	NM_002940	6059	ENSG00000164163
HGNC:58656	ABCE1P1	ABCE1 pseudogene 1	Approved			7p15.3			442517	ENSG00000224785
HGNC:58657	ABCE1P2	ABCE1 pseudogene 2	Approved			1q31.2			647150	ENSG00000226723
HGNC:58658	ABCE1P3	ABCE1 pseudogene 3	Approved			1q31.2				ENSG00000236792
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	ABC50	EST123147	6p21.33	AF027302		23	ENSG00000204574
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	Approved			6p21.33			107986587	
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	NM_005692	10061	ENSG00000033050
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	Approved	ABCF2-H2BE1		7q36.1			114483834	ENSG00000285292
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	Approved			3p11.1			344653	ENSG00000242159
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	Approved			7q11.22			100422059	ENSG00000228769
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved		EST201864	3q27.1	U66685	NM_018358	55324	ENSG00000161204
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved		ABC8	21q22.3	U34919	NM_207174	9619	ENSG00000160179
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	NM_004827	9429	ENSG00000118777
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved		WHITE2	11q23.3	AJ300465	NM_022169	64137	ENSG00000172350
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Approved		STSL	2p21	T93792	NM_022436	64240	ENSG00000138075
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Approved		GBD4	2p21	AF320294	NM_022437	64241	ENSG00000143921
HGNC:75	ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)	Symbol Withdrawn							
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved		LABH1, FLJ36128	2p23.3	AK093447	NM_032604	84696	ENSG00000143994
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	Approved		LABH2	15q26.1	X12433		11057	ENSG00000140526
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	Approved		LABH3	18q11.2	AK024880		171586	ENSG00000158201
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	Approved		FLJ12816	14q11.2	AK022878		63874	ENSG00000100439
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	Approved		CGI-58, NCIE2	3p21.33	AF007132	NM_016006	51099	ENSG00000011198
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	Approved			3p14.3	AF225418	NM_020676	57406	ENSG00000163686
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		FLJ11743, MGC14280, MGC2512	19p13.11	AK021805	NM_024527	79575	ENSG00000127220
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	Approved		FLJ11342	3q13.2	AL713726	NM_018394	55347	ENSG00000144827
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226	7q11.23	AF217971		83451	ENSG00000106077
HGNC:40012	ABHD11-AS2	ABHD11 antisense RNA 2	Entry Withdrawn			7q11.23				
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	NM_015600	26090	ENSG00000100997
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	C14orf29	BEM46L3	14q22.1	BG698443		145447	ENSG00000131969
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812	NM_032859	84945	ENSG00000139826
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		DKFZP564O243, DORZ1	3p21.2	AY358201	NM_015407	25864	ENSG00000248487
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Approved			3p21.2			100526760	ENSG00000114786
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		MGC15429, CIB	3p21.2	AK075112	NM_032750	84836	ENSG00000114779
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			17q11.2	AK056717	NM_198147	116236	ENSG00000168792
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved		linc-TP53I13, lnc-TP53I13	17q11.2	CN275323			ENSG00000264031
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	Approved	BAT5	NG26, D6S82E	6p21.33	AF129756		7920	ENSG00000204427
HGNC:59161	ABHD16A-AS1	ABHD16A antisense RNA 1	Approved			6p21.33			105375018	
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	dJ591C20.1	20q13.33			140701	ENSG00000183260
HGNC:58392	ABHD16B-AS1	ABHD16B antisense RNA 1	Approved			20q13.33			112268269	ENSG00000268858
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512	NM_031213	81926	ENSG00000129968
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2		NG_011738	728917	ENSG00000198658
HGNC:33538	ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	Symbol Withdrawn	FAM108A3, FAM108A11P, FAM108A3P		1q21.1				
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	Approved	FAM108A4, FAM108A4P		1q41		XR_041784	648359	ENSG00000250536
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4	Approved	FAM108A5, FAM108A5P		22q11.21			729495	ENSG00000229107
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5	Approved	FAM108A6, FAM108A6P		22q11.22			91219	ENSG00000263366
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6	Approved	FAM108A7P		17p11.2			644988	ENSG00000226981
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7	Approved	FAM108A8P		16p11.2			100133212	ENSG00000260864
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8	Approved	FAM108A9P		16p11.2			647144	ENSG00000260540
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9	Approved	FAM108A10P		16p11.2			100132251	ENSG00000261536
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	Approved	C9orf77, FAM108B1	CGI-67	9q21.13	AF151825	NM_016014	51104	ENSG00000107362
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	Approved	FAM108C1		15q25.1		NM_021214	58489	ENSG00000136379
HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	C4orf29	FLJ21106	4q28.2	AK024759	NM_001039717	80167	ENSG00000164074
HGNC:11320	ABI1	abl interactor 1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166	NM_005470	10006	ENSG00000136754
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	Approved	SSH3BP1P, ABI1P		14q22.3		NG_002531	326268	ENSG00000271484
HGNC:24011	ABI2	abl interactor 2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	AF260261	NM_005759	10152	ENSG00000138443
HGNC:29859	ABI3	ABI family member 3	Approved		NESH, SSH3BP3	17q21.32	AB037886	NM_016428	51225	ENSG00000108798
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106		25890	ENSG00000154175
HGNC:1364	ABITRAM	actin binding transcription modulator	Approved	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	9q31.3	BC015795	NM_017832	54942	ENSG00000119328
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	Approved	FAM206BP		13q14.13		NG_011392	390403	ENSG00000251106
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	JTK7, c-ABL, p150	9q34.12	M14752	NM_007313	25	ENSG00000097007
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	ARG	1q25.2	M14904	NM_005158	27	ENSG00000143322
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25.3	AF005654		3983	ENSG00000099204
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved		KIAA1808	4p16.1	AB058711	NM_001130083	84448	ENSG00000163995
HGNC:58727	ABLIM2-DT	ABLIM2 divergent transcript	Approved			4p16.1				ENSG00000290015
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved		KIAA0843	5q32	AB020650	NM_014945	22885	ENSG00000173210
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Approved		A3GALNT, A3GALT1	9q34.2	AF134415	NM_020469	28	ENSG00000175164
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	Approved		MDB	17p13.3	L19704		29	ENSG00000159842
HGNC:55674	ABR-AS1	ABR antisense RNA 1	Approved			17p13.3			105371479	ENSG00000235361
HGNC:30655	ABRA	actin binding Rho activating protein	Approved		STARS	8q23.1	AF503617	NM_139166	137735	ENSG00000174429
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953	NM_021243	58527	ENSG00000146386
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	Approved	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	4q21.23	AK023676	NM_139076	84142	ENSG00000163322
